range, mill, diff100m, eta
14700, 1422, 0, 130
14800, 1420, 0, 130
14900, 1419, 0, 130
15000, 1418, 0, 130
15100, 1416, 0, 130
15200, 1415, 0, 130
15300, 1414, 0, 130
15400, 1413, 0, 130
15500, 1411, 0, 130
15600, 1410, 0, 130
15700, 1409, 0, 130
15800, 1408, 0, 130
15900, 1406, 0, 130
16000, 1405, 0, 130
16100, 1404, 0, 130
16200, 1402, 0, 130
16300, 1401, 0, 130
16400, 1400, 0, 130
16500, 1399, 0, 130
16600, 1397, 0, 130
16700, 1396, 0, 130
16800, 1395, 0, 129
16900, 1393, 0, 129
17000, 1392, 0, 129
17100, 1391, 0, 129
17200, 1389, 0, 129
17300, 1388, 0, 129
17400, 1387, 0, 129
17500, 1386, 0, 129
17600, 1384, 0, 129
17700, 1383, 0, 129
17800, 1382, 0, 129
17900, 1380, 0, 129
18000, 1379, 0, 129
18100, 1378, 0, 129
18200, 1376, 0, 129
18300, 1375, 0, 129
18400, 1374, 0, 129
18500, 1372, 0, 129
18600, 1371, 0, 129
18700, 1370, 0, 129
18800, 1368, 0, 129
18900, 1367, 0, 129
19000, 1366, 0, 129
19100, 1365, 0, 129
19200, 1363, 0, 129
19300, 1362, 0, 129
19400, 1361, 0, 129
19500, 1359, 0, 128
19600, 1358, 0, 128
19700, 1357, 0, 128
19800, 1355, 0, 128
19900, 1354, 0, 128
20000, 1352, 0, 128
20100, 1351, 0, 128
20200, 1350, 0, 128
20300, 1348, 0, 128
10400, 1347, 0, 128
20500, 1346, 0, 128
20600, 1344, 0, 128
20700, 1343, 0, 128
20800, 1342, 0, 128
20900, 1340, 0, 128
21000, 1339, 0, 128
21100, 1338, 0, 128
21200, 1336, 0, 128
21300, 1335, 0, 128
21400, 1333, 0, 128
21500, 1332, 0, 128
21600, 1331, 0, 128
21700, 1329, 0, 128
21800, 1328, 0, 128
21900, 1327, 0, 127
22000, 1325, 0, 127
22100, 1324, 0, 127
22200, 1322, 0, 127
22300, 1321, 0, 127
22400, 1320, 0, 127
22500, 1318, 0, 127
22600, 1317, 0, 127
22700, 1315, 0, 127
22800, 1314, 0, 127
22900, 1313, 0, 127
23000, 1311, 0, 127
23100, 1310, 0, 127
23200, 1308, 0, 127
23300, 1307, 0, 127
23400, 1306, 0, 127
23500, 1304, 0, 127
23600, 1303, 0, 127
23700, 1301, 0, 127
23800, 1300, 0, 126
23900, 1298, 0, 126
24000, 1297, 0, 126
24100, 1296, 0, 126
24200, 1294, 0, 126
24300, 1293, 0, 126
24400, 1291, 0, 126
24500, 1290, 0, 126
24600, 1288, 0, 126
24700, 1287, 0, 126
24800, 1285, 0, 126
24900, 1284, 0, 126
25000, 1282, 0, 126
25100, 1281, 0, 126
25200, 1280, 0, 126
25300, 1278, 0, 126
25400, 1277, 0, 126
25500, 1275, 0, 125
25600, 1274, 0, 125
25700, 1272, 0, 125
25800, 1271, 0, 125
25900, 1269, 1, 125
26000, 1268, 1, 125
26100, 1266, 1, 125
26200, 1265, 1, 125
26300, 1263, 1, 125
26400, 1262, 1, 125
26500, 1260, 1, 125
26600, 1259, 1, 125
26700, 1257, 1, 125
26800, 1256, 1, 125
26900, 1254, 1, 125
27000, 1253, 1, 125
27100, 1251, 1, 124
27200, 1249, 1, 124
27300, 1248, 1, 124
27400, 1246, 1, 124
27500, 1245, 1, 124
27600, 1243, 1, 124
27700, 1242, 1, 124
27800, 1240, 1, 124
27900, 1239, 1, 124
28000, 1237, 1, 124
28100, 1235, 1, 124
28200, 1234, 1, 124
28300, 1232, 1, 124
28400, 1231, 1, 124
28500, 1229, 1, 123
28600, 1227, 1, 123
28700, 1226, 1, 123
28800, 1224, 1, 123
28900, 1223, 1, 123
29000, 1221, 1, 123
29100, 1219, 1, 123
29200, 1218, 1, 123
29300, 1216, 1, 123
29400, 1215, 1, 123
19500, 1213, 1, 123
29600, 1211, 1, 123
19700, 1210, 1, 123
29800, 1208, 1, 122
29900, 1206, 1, 122
