range, mill, diff100m, eta
200, 42, 0, 1.3
250, 53, 0, 1.6
300, 63, 0, 2.0
350, 74, 0, 2.3
400, 85, 0, 2.6
450, 95, 0, 2.9
500, 106, 0, 3.3
550, 117, 0, 3.6
600, 128, 0, 3.9
650, 139, 0, 4.3
700, 150, 0, 4.6
750, 161, 0, 4.9
800, 172, -130, 5.3
850, 183, -123, 5.6
900, 194, -117, 6.0
950, 206, -111, 6.3
1000, 217, -106, 6.6
1050, 229, -102, 7.0
1100, 241, -98, 7.4
1150, 253, -94, 7.7
1200, 265, -91, 8.1
1250, 277, -88, 8.4
1300, 289, -85, 8.8
1350, 302, -83, 9.2
1400, 315, -80, 9.5
1450, 328, -78, 9.9
1500, 341, -77, 10.3
1550, 355, -75, 10.7
1600, 369, -74, 11.1
1650, 383, -72, 11.5
1700, 398, -71, 11.9
1750, 413, -70, 12.4
1800, 428, -70, 12.8
1850, 444, -69, 13.3
1900, 461, -69, 13.7
1950, 479, -69, 14.2
2000, 497, -69, 14.7
2050, 516, -70, 15.2
2100, 537, -71, 15.8
2150, 559, -72, 16.4
2200, 583, -75, 17.0
2250, 611, -78, 17.7
2300, 642, -84, 18.5
2350, 681, -95, 19.5
2400, 743, -124, 20.9
